"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 28 20:18:12 UTC 2025","Sun Dec 28 20:18:23 UTC 2025","10278","tests.ui.qube.arisha","test_arisha_360_area_tour","","","","test_arisha_360_area_tour[firefox-client]","Тест 360 Area Tour для проекта Arisha на всех роутах."
"passed","Sun Dec 28 20:13:30 UTC 2025","Sun Dec 28 20:13:44 UTC 2025","14105","tests.ui.vibe.arsenal","test_arsenal_explore_amenities","","","","test_arsenal_explore_amenities[webkit]","Тест Explore Amenities для проекта Arsenal (без routes, только map)."
"skipped","Sun Dec 28 20:11:57 UTC 2025","Sun Dec 28 20:11:57 UTC 2025","0","tests.ui.wellcube.tranquil","test_tranquil_download_pdf","","","","test_tranquil_download_ownership_offer[firefox]","Тест скачивания PDF на проекте Tranquil."
"skipped","Sun Dec 28 20:34:44 UTC 2025","Sun Dec 28 20:34:44 UTC 2025","0","tests.ui.mobile.qube.arisha","test_arisha_mobile_apartment_widget","","","","test_arisha_mobile_apartment_widget_full_functionality[chromium-client]","Тест полного функционала виджета апартамента Arisha на мобильном устройстве на всех роутах."
"passed","Sun Dec 28 20:13:20 UTC 2025","Sun Dec 28 20:13:29 UTC 2025","8897","tests.ui.vibe.arsenal","test_arsenal_catalog_navigation","","","","test_arsenal_catalog_navigation[webkit]","Тест перехода в каталог квартир для проекта Arsenal."
"broken","Sun Dec 28 20:25:05 UTC 2025","Sun Dec 28 20:25:46 UTC 2025","40832","tests.ui.mobile.abra.willows_residences","test_willows_residences_mobile_explore_amenities","","","","test_willows_residences_mobile_explore_amenities[chromium]","Тест Explore Amenities для проекта Willows Residences на мобильном устройстве."
"skipped","Sun Dec 28 20:43:46 UTC 2025","Sun Dec 28 20:43:46 UTC 2025","0","tests.ui.mobile.wellcube.tranquil","test_tranquil_mobile_explore_amenities","","","","test_tranquil_mobile_explore_amenities[chromium]","Тест Explore Amenities для проекта Tranquil на мобильном устройстве."
"passed","Sun Dec 28 20:16:54 UTC 2025","Sun Dec 28 20:17:14 UTC 2025","20456","tests.ui.qube.cubix","test_cubix_explore_amenities","","","","test_cubix_explore_amenities[webkit-agent]","Тест Explore Amenities для проекта Cubix на всех роутах."
"passed","Sun Dec 28 20:24:33 UTC 2025","Sun Dec 28 20:24:38 UTC 2025","5095","tests.ui.lsr.mark","test_mark_360_area_tour","","","","test_mark_360_area_tour[chromium-lobby-k2]","Тест 360 Area Tour для проекта MARK с разными типами панорам."
"passed","Sun Dec 28 20:18:05 UTC 2025","Sun Dec 28 20:18:25 UTC 2025","20193","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_full_navigation_cycle_on_map[webkit-elire]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Sun Dec 28 20:14:24 UTC 2025","Sun Dec 28 20:14:37 UTC 2025","13368","tests.ui.qube.arisha","test_arisha_360_area_tour","","","","test_arisha_360_area_tour[firefox-agent]","Тест 360 Area Tour для проекта Arisha на всех роутах."
